domainLength,visitCount,durationSeconds,isKnownAiDomain,hourOfDay,pathDepth,chatInterfacePresent,promptInputPresent,generateControlPresent,regenerateControlPresent,aiTermCount,streamingOutputPresent,fileUploadPresent,promptSubmitCount,generateClickCount,pasteEventCount,copyFromResponseCount,typedCharCountBucket,label
15,11,326,True,1,4,True,True,True,False,15,False,True,2,0,1,0,3,AI_INTERACTION
21,26,244,False,4,3,True,True,True,False,13,False,True,3,0,3,0,3,AI_INTERACTION
19,19,396,True,8,2,True,True,True,True,9,True,False,7,2,0,2,4,AI_GENERATION
15,30,430,True,0,3,True,True,True,True,3,False,False,1,1,1,0,1,AI_INTERACTION
11,30,98,False,21,1,False,False,False,False,0,False,True,0,0,0,0,0,NON_AI
23,12,824,True,11,2,True,True,True,False,13,True,True,2,4,1,6,4,AI_GENERATION
10,20,106,False,0,1,True,True,True,False,15,False,True,3,1,3,0,3,AI_INTERACTION
8,35,478,False,13,0,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
20,37,38,False,5,4,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
21,24,238,True,12,3,True,True,True,False,8,False,False,2,3,3,0,2,AI_INTERACTION
12,11,99,True,15,1,True,True,True,False,12,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
13,50,196,True,2,2,True,True,True,True,8,False,False,1,5,4,1,2,AI_GENERATION
22,41,249,True,3,2,True,True,True,True,16,True,False,7,5,1,2,2,AI_GENERATION
12,9,420,False,8,2,True,True,True,True,13,False,False,1,0,1,0,2,AI_INTERACTION
17,26,428,True,8,2,True,True,True,False,15,False,True,2,1,0,0,2,AI_INTERACTION
12,13,59,True,21,1,True,True,False,True,9,False,True,0,0,0,0,0,AI_CAPABLE_PAGE
17,1,20,True,17,2,True,True,True,True,9,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
13,29,49,False,13,2,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
13,3,418,True,8,3,True,True,True,False,4,False,True,3,3,0,0,2,AI_INTERACTION
17,28,626,False,2,3,True,True,True,True,6,True,False,1,1,1,0,3,AI_GENERATION
22,10,442,True,7,1,True,True,True,True,4,False,True,2,0,0,0,1,AI_INTERACTION
14,3,273,True,14,3,True,True,True,True,11,False,True,4,1,1,0,2,AI_INTERACTION
25,10,445,False,4,0,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
16,18,236,True,18,1,True,True,True,False,11,False,False,1,1,2,0,2,AI_INTERACTION
18,32,388,False,22,2,True,True,True,False,13,False,False,4,0,0,0,1,AI_INTERACTION
20,11,184,True,23,1,True,True,True,False,12,False,False,1,0,0,0,1,AI_INTERACTION
24,41,100,True,17,3,True,True,True,True,13,True,False,1,3,1,1,3,AI_GENERATION
21,38,746,False,18,2,True,True,True,False,9,False,True,6,7,0,4,2,AI_GENERATION
20,43,575,True,11,2,True,True,True,False,9,False,False,6,7,5,4,2,AI_GENERATION
21,19,161,False,6,2,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
15,44,73,True,5,2,True,True,True,True,12,True,True,3,1,0,0,4,AI_GENERATION
23,31,252,True,9,1,True,True,True,True,10,False,False,1,2,2,0,2,AI_INTERACTION
14,48,69,True,5,2,True,True,True,False,19,True,False,3,1,2,3,2,AI_GENERATION
22,20,469,True,21,4,True,True,True,False,5,True,False,7,3,3,3,2,AI_GENERATION
13,3,39,False,3,0,True,True,True,True,7,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
15,37,397,False,7,3,False,True,False,False,0,False,False,0,0,0,0,0,NON_AI
18,10,89,True,17,3,True,True,True,False,7,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
19,6,119,False,3,1,True,True,False,False,6,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
23,19,573,True,22,4,True,True,True,False,12,True,False,4,7,5,3,4,AI_GENERATION
22,22,166,False,11,2,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
20,9,116,False,0,1,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
23,3,181,False,8,3,False,False,False,False,0,False,False,0,0,1,0,0,NON_AI
11,25,86,True,18,2,True,True,True,False,8,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
18,32,35,True,5,2,True,True,True,False,3,False,True,2,1,0,0,3,AI_INTERACTION
23,18,85,True,12,2,True,True,True,False,11,False,False,2,1,0,0,2,AI_INTERACTION
19,13,32,True,9,0,True,True,False,False,9,False,True,0,0,0,0,0,AI_CAPABLE_PAGE
19,10,68,True,17,3,True,True,True,False,4,False,True,0,0,0,0,0,AI_CAPABLE_PAGE
13,20,148,True,15,1,True,True,True,False,12,False,True,1,3,0,0,2,AI_INTERACTION
13,10,64,True,15,3,True,True,True,False,5,False,True,0,0,0,0,0,AI_CAPABLE_PAGE
23,14,211,False,17,2,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
14,28,122,False,17,1,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
15,25,877,True,21,3,True,True,True,True,14,True,True,5,1,3,0,2,AI_GENERATION
16,24,112,False,4,1,True,True,False,False,11,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
12,31,14,False,5,3,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
20,4,588,False,17,1,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
21,12,367,False,6,1,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
13,5,9,True,6,0,True,True,True,False,9,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
15,7,41,True,15,2,True,True,False,True,4,False,True,0,0,0,0,0,AI_CAPABLE_PAGE
20,14,106,True,10,3,True,True,True,False,6,False,True,0,0,0,0,0,AI_CAPABLE_PAGE
14,6,69,False,3,1,True,True,True,False,4,False,False,3,1,0,0,2,AI_INTERACTION
17,4,47,True,18,3,True,True,True,False,4,False,True,0,0,0,0,0,AI_CAPABLE_PAGE
15,6,31,True,17,0,True,True,True,False,4,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
22,22,43,False,2,0,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
24,5,193,True,2,2,True,True,True,False,10,False,True,2,0,1,0,3,AI_INTERACTION
20,25,93,True,4,2,True,True,True,False,7,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
14,32,233,True,22,3,True,True,True,True,3,False,False,1,3,3,0,2,AI_INTERACTION
17,24,610,True,14,2,True,True,True,False,7,True,False,4,1,5,4,4,AI_GENERATION
21,38,413,False,11,1,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
18,4,93,True,6,3,True,True,True,False,10,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
17,10,87,True,18,0,True,True,True,True,3,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
23,21,496,False,11,4,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
17,29,313,False,2,2,True,True,True,False,11,False,True,2,0,1,0,3,AI_INTERACTION
14,32,209,False,7,5,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
21,10,262,True,11,2,True,True,True,True,6,False,True,2,3,2,0,3,AI_INTERACTION
16,39,731,True,5,1,True,True,True,True,9,True,True,4,7,1,1,4,AI_GENERATION
13,13,103,True,17,2,True,True,True,False,8,False,True,0,0,0,0,0,AI_CAPABLE_PAGE
21,10,309,True,1,1,True,True,True,True,14,False,False,2,2,0,3,3,AI_GENERATION
19,5,114,True,22,2,True,True,True,True,7,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
20,20,244,False,13,5,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
15,46,490,True,5,2,True,True,True,True,17,True,True,4,3,2,6,4,AI_GENERATION
11,10,692,True,14,2,True,True,True,False,20,True,False,4,4,4,0,4,AI_GENERATION
14,7,72,True,9,1,True,True,True,False,5,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
22,19,452,True,4,1,True,True,True,False,17,True,True,4,1,0,5,4,AI_GENERATION
24,28,225,True,11,1,True,True,True,True,6,False,False,2,3,1,0,2,AI_INTERACTION
15,24,234,True,10,4,True,True,True,False,9,False,True,4,3,0,0,2,AI_INTERACTION
21,19,8,True,20,2,True,True,True,False,7,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
17,32,591,False,17,2,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
23,30,558,False,8,4,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
18,9,115,True,3,1,True,True,True,False,10,False,True,4,1,3,0,2,AI_INTERACTION
24,8,197,True,19,1,True,True,True,True,19,False,False,6,2,4,1,4,AI_GENERATION
17,34,560,False,13,1,True,True,True,True,17,False,False,1,1,5,4,4,AI_GENERATION
25,44,617,True,7,2,True,True,True,False,13,True,True,2,7,2,3,2,AI_GENERATION
9,23,450,False,8,5,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
11,49,138,False,19,4,True,True,True,False,14,True,False,2,8,4,4,4,AI_GENERATION
16,17,97,True,23,3,True,True,True,False,2,False,True,0,0,0,0,0,AI_CAPABLE_PAGE
9,33,589,False,16,4,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
19,34,278,False,2,5,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
14,8,495,False,7,5,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
24,50,793,True,12,1,True,True,True,True,14,True,True,2,7,3,3,3,AI_GENERATION
23,14,355,False,13,2,False,False,False,False,0,False,False,0,0,0,0,1,NON_AI
17,7,80,False,15,3,True,True,True,True,7,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
11,24,452,False,12,5,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
11,33,125,False,9,0,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
22,22,149,True,12,3,True,True,True,False,11,False,True,3,0,3,0,3,AI_INTERACTION
20,19,88,True,1,1,True,True,True,True,5,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
13,10,89,True,15,3,True,True,True,False,10,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
16,1,83,True,6,0,True,True,True,False,7,False,True,0,0,0,0,0,AI_CAPABLE_PAGE
19,19,47,True,19,2,True,True,True,True,9,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
20,48,852,True,13,1,True,True,True,False,7,True,False,2,8,0,0,3,AI_GENERATION
25,20,167,True,0,4,True,True,True,True,11,True,False,5,2,5,5,3,AI_GENERATION
17,28,240,True,17,1,True,True,True,False,9,False,True,2,2,1,0,3,AI_INTERACTION
23,25,42,True,12,3,True,True,True,False,14,False,True,2,3,2,0,1,AI_INTERACTION
11,17,43,True,11,1,True,True,True,False,2,False,True,0,0,0,0,0,AI_CAPABLE_PAGE
14,16,118,False,2,1,True,True,True,False,8,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
12,3,254,True,22,4,True,True,True,True,11,False,False,3,0,3,0,2,AI_INTERACTION
21,18,92,True,0,1,True,True,True,False,15,False,True,3,0,1,0,1,AI_INTERACTION
17,3,15,True,17,1,True,True,True,False,9,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
25,38,191,False,4,3,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
12,7,45,False,9,3,False,True,False,False,0,False,False,0,0,0,0,0,NON_AI
23,32,93,True,14,4,True,True,True,False,13,False,False,4,0,2,0,1,AI_INTERACTION
16,24,36,True,7,3,True,True,True,False,12,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
14,35,164,True,8,3,True,True,True,True,20,True,False,4,6,1,1,4,AI_GENERATION
20,22,165,False,14,4,True,True,True,True,3,False,False,3,3,1,0,2,AI_INTERACTION
14,8,507,True,1,4,True,True,True,True,20,True,False,4,7,4,6,4,AI_GENERATION
22,4,469,False,4,4,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
14,11,52,True,12,0,True,True,False,False,3,False,True,0,0,0,0,0,AI_CAPABLE_PAGE
14,26,283,True,12,4,True,True,True,False,6,False,True,2,3,0,0,3,AI_INTERACTION
10,7,228,True,16,2,True,True,True,False,6,False,False,4,1,3,0,2,AI_INTERACTION
12,25,659,True,7,2,True,True,True,True,19,False,True,1,5,3,4,3,AI_GENERATION
22,17,127,False,2,1,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
24,17,555,False,18,2,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
22,15,84,True,4,3,True,True,True,False,5,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
24,42,773,True,22,3,True,True,True,True,5,False,False,5,4,1,2,2,AI_GENERATION
17,31,495,False,14,2,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
16,11,385,False,4,5,False,False,False,False,0,False,False,0,0,0,0,1,NON_AI
20,23,72,True,17,3,True,True,True,False,6,False,True,0,0,0,0,0,AI_CAPABLE_PAGE
21,5,256,True,0,1,True,True,True,True,6,False,True,2,0,0,0,1,AI_INTERACTION
21,14,14,True,7,1,True,True,True,False,12,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
8,26,265,False,0,5,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
22,37,109,True,11,2,True,True,True,True,12,True,False,3,5,1,1,4,AI_GENERATION
24,29,14,False,0,5,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
14,20,119,True,10,3,True,True,True,True,12,False,True,0,0,0,0,0,AI_CAPABLE_PAGE
19,5,78,True,0,3,True,True,False,True,9,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
22,17,382,False,5,4,False,False,False,False,0,False,False,0,0,0,0,0,NON_AI
23,35,319,True,4,1,True,True,True,True,16,True,True,3,1,2,0,4,AI_GENERATION
13,18,54,True,11,3,True,True,True,False,12,False,True,0,0,0,0,0,AI_CAPABLE_PAGE
12,1,19,False,2,3,True,True,False,False,5,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
19,21,441,False,23,0,False,False,False,False,0,False,True,0,0,0,0,0,NON_AI
21,29,354,True,19,1,True,True,True,False,15,False,False,1,0,3,0,1,AI_INTERACTION
22,12,45,True,9,4,True,True,True,False,7,False,False,1,0,2,0,1,AI_INTERACTION
19,14,95,True,14,1,True,True,True,False,9,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
21,25,337,True,21,4,True,True,True,True,6,False,False,1,3,3,0,2,AI_INTERACTION
13,34,96,False,4,2,True,True,True,False,14,False,True,4,2,0,0,1,AI_INTERACTION
14,10,67,True,2,3,True,True,True,True,10,False,True,0,0,0,0,0,AI_CAPABLE_PAGE
18,21,179,False,6,4,True,True,True,True,19,True,False,7,6,3,4,2,AI_GENERATION
14,11,79,True,16,2,True,True,True,True,3,False,False,2,0,3,0,1,AI_INTERACTION
15,23,101,True,13,2,True,True,True,True,10,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
20,50,457,True,9,4,True,True,True,False,7,True,False,3,4,2,6,2,AI_GENERATION
21,7,570,True,9,4,True,True,True,True,13,False,True,2,3,4,5,4,AI_GENERATION
19,26,183,False,14,0,False,False,False,False,0,False,False,0,0,1,0,0,NON_AI
10,3,32,True,4,0,True,True,False,False,9,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
25,20,121,True,19,1,True,True,True,True,6,True,True,1,7,1,2,2,AI_GENERATION
24,21,551,True,1,1,True,True,True,True,18,False,True,5,7,3,4,3,AI_GENERATION
21,17,113,True,17,0,True,True,True,False,3,False,False,0,0,0,0,0,AI_CAPABLE_PAGE
